utterance,expected_outcome,is_main_concept
and she had.,0,1
to go uh.,0,1
Be there at 12 o'clock um I I.,1,0
At 12 o'clock and uh.,1,0
She had.,0,1
to go she had.,0,1
to she had.,0,1
to go at 3 at 1 o'clock at 12 o'clock.,1,0
Mom.,0,1
Um There's an announcement.,1,0
I can fix it.,1,0
Um prepares.,1,0
to go around.,0,1
And the girls and the Uh community.,0,1
to marry.,1,0
and they see that she's there.,0,1
To be married.,1,0
And then finally someone comes along and Is are you there?,0,1
to go.,0,1
to go.,0,1
and she Oh We lost connection.,0,1
so they bring her in.,0,1
And uh using a broom or a mop or something cleaning.,1,0
It appears she's dancing with this guy with a uniform on.,1,0
And disappears.,1,0
to continue with the rest of the story?,0,1
And then um she's out one day.,1,0
with him is fascinated with him.,1,0
So he announces.,1,0
And have all the women all the young women in the town.,1,0
and the country comes.,0,1
because everything will change back to what it was.,1,0
before the story started.,0,1
to find whoever in the coun in country.,1,0
to cram their feet into it.,1,0
and I obviously can't get them in.,1,0
And I can't remember the right ending how.,0,1
Once upon a time.,0,1
And she had.,0,1
to do all the work.,1,0
so he's going all around trying.,1,0
and met the prince.,0,1
Um The um 2 run um so from the uh.,0,1
Um He chopped down the ss um the Um Um Um Uh the um.,1,0
The uh Uh they go.,0,1
And she had a what you would call her someone.,0,1
And um she had.,0,1
